,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
CD,1.0,0.1355,0.1405,0.0873,0.1723,0.1402,0.0964,0.2052,0.1476,0.2772,0.5044,-0.035
C,0.1355,1.0,0.334,0.0185,0.0779,0.0939,0.1173,0.1164,0.0457,0.0973,0.1579,-0.0096
S,0.1405,0.334,1.0,0.0185,0.0593,0.0969,0.1098,0.1457,0.058,0.0797,0.1841,-0.0274
ATW,0.0873,0.0185,0.0185,1.0,0.017,0.0533,0.0175,0.044,-0.0012,0.1166,0.0759,0.021
ES,0.1723,0.0779,0.0593,0.017,1.0,0.0466,0.0363,0.0612,0.0264,0.1115,0.2135,0.0979
PA,0.1402,0.0939,0.0969,0.0533,0.0466,1.0,0.0839,0.3546,0.1247,0.0965,0.1351,-0.0087
SB,0.0964,0.1173,0.1098,0.0175,0.0363,0.0839,1.0,0.1082,0.0756,0.0516,0.1153,0.0128
PL,0.2052,0.1164,0.1457,0.044,0.0612,0.3546,0.1082,1.0,0.2253,0.1012,0.2699,-0.0044
GC,0.1476,0.0457,0.058,-0.0012,0.0264,0.1247,0.0756,0.2253,1.0,0.0652,0.1896,0.008
CL,0.2772,0.0973,0.0797,0.1166,0.1115,0.0965,0.0516,0.1012,0.0652,1.0,0.1784,0.051
AD,0.5044,0.1579,0.1841,0.0759,0.2135,0.1351,0.1153,0.2699,0.1896,0.1784,1.0,0.019
TU,-0.035,-0.0096,-0.0274,0.021,0.0979,-0.0087,0.0128,-0.0044,0.008,0.051,0.019,1.0
